unit_id,name
3.97.4.93,高雄市立前鎮高級中學
3.79.2,臺北市政府民政局
3.15.86,臺灣港務股份有限公司
3.76.47.97.95,彰化縣二水鄉二水國民小學
3.79.27,臺北自來水事業處
3.76.45.97.83,苗栗縣後龍鎮同光國民小學
3.80.36,桃園市政府都市發展局
3.79.7.66,臺北市內湖區潭美國民小學
3.82.8.45,新北市金山區金美國民小學
3.31.11,國軍退除役官兵輔導委員會福壽山農場
3.79.7.87,臺北市士林區溪山國民小學
3.76.54.64,臺東縣達仁鄉公所
3.76.42.58,宜蘭縣冬山鄉公所
3.82.6.5,新北市立樟樹國民中學
3.76.50.95.24,嘉義縣立永慶高級中學
3.87.6.14,臺中市立光德國民中學
3.10.90.22,私立真理大學
3.97.8.74,高雄市六龜區六龜國民小學
3.76.42.97.25,宜蘭縣礁溪鄉礁溪國民小學
3.76.44.52,新竹縣關西鎮公所
3.82.4.94,新北市立三民高級中學
01021257,中華鍋爐協會
3.97.8.91,高雄市甲仙區甲仙國民小學
3.10.4,國立臺灣科技大學
A.17,勞動部
3.13.32.33,台灣電力股份有限公司電力修護處
3.13.30.76,臺灣糖業股份有限公司臺南區處
3.15.10,交通部運輸研究所
3.15.86.3,臺灣港務股份有限公司高雄港務分公司
3.79.8.94,臺北市信義區博愛國民小學
3.97.84,高雄市杉林區公所
3.76.50.95.21,嘉義縣立竹崎高級中學
3.13.31.96,台灣電力股份有限公司嘉南供電區營運處
3.76.45.97.80,苗栗縣後龍鎮溪洲國民小學
3.87.62,臺中市清水區公所
3.92.5.62,國立蘇澳高級海事水產職業學校
3.76.47.62,彰化縣秀水鄉公所
3.10.90.40,聖約翰科技大學
3.95.7.35,臺南市安平區安平國民小學
3.92.39,國立虎尾科技大學
3.95.14,臺南市政府衛生局
3.87.8.14,臺中市神岡區岸裡國民小學
3.13.50.41.9,台灣中油股份有限公司油品行銷事業部基隆營業處
3.97.16.27,高雄市政府地政局旗山地政事務所
3.10.90.36,正修學校財團法人正修科技大學
49504204,臺灣苗栗農田水利會
3.97.7.41,高雄市鼓山區龍華國民小學
3.76.60,嘉義市政府
3.87.5.5,臺中市立臺中第二高級中等學校
3.76.44.42,新竹瓦斯股份有限公司
3.79.53,臺北市政府交通局
3.9.94,國立金門高級農工職業學校
3.76.56.51,澎湖縣馬公市公所
3.87.2,臺中市政府民政局
91321804,東港區漁會
3.76.55.63,花蓮縣萬榮鄉公所
3.10.90.45,開南大學
3.92.4.12,國立苗栗高級商業職業學校
3.1.1.17,內政部警政署保安警察第六總隊
3.13.30.18,臺灣糖業股份有限公司生物科技事業部
33503708,致理學校財團法人致理科技大學
3.82.60,新北市瑞芳區公所
3.76.60.96.2,嘉義市立蘭潭國民中學
3.7.74.42,臺灣菸酒股份有限公司善化啤酒廠
3.76.44.29,新竹縣政府文化局
3.82.3.1,新北市政府稅捐稽徵處
A.41,國家發展委員會
3.92.4.1,國立宜蘭高級商業職業學校
3.76.50.61,嘉義縣鹿草鄉公所
3.95.52,臺南市南區區公所
21501091,社團法人台灣綠建築發展協會
3.80.7.36,桃園市中壢區中正國民小學
3.80.15,桃園市政府環境保護局
3.80.7.66,桃園市八德區廣興國民小學
3.13.21,經濟部能源局
3.76.49.60,雲林縣林內鄉公所
3.15.6.4,交通部民用航空局花蓮航空站
3.11.94.15,法務部矯正署高雄女子監獄
3.97.36,高雄市政府都市發展局
A.1.5,內政部移民署
3.76.42,宜蘭縣政府
3.87.5.33,臺中市立東勢工業高級中等學校
3.10.70,國立科學工藝博物館
3.63.1.1,行政院海岸巡防署海岸巡防總局北部地區巡防局
3.76.55.51,花蓮縣花蓮市公所
3.76.45.97.25,苗栗縣三義鄉僑成國民小學
3.13.32.15,台灣電力股份有限公司核能火力發電工程處
3.97.29.4,高雄市輪船股份有限公司
3.97.5.80,高雄市立國昌國民中學
3.79.7.60,臺北市南港區南港國民小學
3.76.55.98,花蓮縣萬榮鄉見晴國民小學
3.76.58.97.47,新竹市香山區內湖國民小學
3.80.58,桃園市大園區公所
3.87.5.82,臺中市立大甲國民中學
3.32.80.5,臺北榮民總醫院桃園分院
3.15.18.40,交通部臺灣鐵路管理局臺中工務段
3.79.14,臺北市政府衛生局
3.76.44,新竹縣政府
3.79.98.1.21,臺北市私立十信高級中學
3.76.44.61,新竹縣峨眉鄉公所
3.13.52.6,台灣自來水股份有限公司第六區管理處
3.13.50.11,台灣中油股份有限公司液化天然氣工程處
3.80.4.91,桃園市立平鎮高級中學
3.97.11,高雄市政府工務局
3.79.8.24,臺北市內湖區明湖國民小學
3.97.39,高雄市政府海洋局
3.10.3,國立屏東科技大學
3.9.25.1,國立臺灣師範大學附屬高級中學
3.87.7.54,臺中市南屯區惠文國民小學
3.92.1.28,國立嘉義高級中學
3.13.31.2,台灣電力股份有限公司台北市區營業處
3.87.7.9,臺中市西區大同國民小學
3.82.8.64,新北市板橋區中山國民小學
3.79.59.3,臺北市立美術館
3.13.20.1,經濟部水利署北區水資源局
3.80.52,桃園市中壢區公所
3.76.55.31,花蓮縣立體育場
3.76.53.98.94,屏東縣里港鄉玉田國民小學
3.13.16,經濟部智慧財產局
3.80.7.88,桃園市蘆竹區新興國民小學
3.95.78,臺南市山上區公所
A.7.5,財政部北區國稅局
3.97.24.4,高雄市政府勞工局勞工教育生活中心
3.92.1.30,國立善化高級中學
A.7.8.3,財政部關務署臺中關
3.82.58,新北市三峽區公所
3.76.44.97.78,新竹縣關西鎮南和國民小學
3.45.4.2,行政院農業委員會林務局新竹林區管理處
3.87.6.11,臺中市立光正國民中學
08254189,國家運動訓練中心
3.97.76,高雄市路竹區公所
3.87.76,臺中市和平區公所
